date,open,high,low,close,volume
2024-04-01,1730.05,1733.55,1726.04,1729.18,5738825.0
2024-04-02,1729.18,1733.48,1723.22,1724.65,3583143.0
2024-04-03,1724.65,1729.87,1722.76,1728.07,5007458.0
2024-04-04,1728.07,1730.82,1715.31,1721.3,5984386.0
2024-04-05,1721.3,1722.58,1712.96,1714.55,5733038.0
2024-04-06,1714.55,1726.8,1712.33,1721.52,2630987.0
2024-04-07,1721.52,1731.92,1717.85,1727.7,5948932.0
2024-04-08,1727.7,1730.86,1722.8,1730.82,3197515.0
2024-04-09,1730.82,1739.73,1730.01,1734.09,2461715.0
2024-04-10,1734.09,1737.41,1726.28,1727.91,4419319.0
2024-04-11,1727.91,1733.33,1724.11,1732.11,3055936.0
2024-04-12,1732.11,1737.85,1727.04,1732.42,2369194.0
2024-04-13,1732.42,1734.08,1731.6,1731.62,5084477.0
2024-04-14,1731.62,1736.02,1727.17,1734.45,4206722.0
2024-04-15,1734.45,1734.51,1733.27,1733.72,5532426.0
2024-04-16,1733.72,1744.36,1728.71,1741.09,4330038.0
2024-04-17,1741.09,1741.85,1733.75,1735.6,5595926.0
2024-04-18,1735.6,1746.3,1730.21,1741.14,2840306.0
2024-04-19,1741.14,1741.75,1732.7,1737.38,5536539.0
2024-04-20,1737.38,1741.1,1735.36,1736.29,5719524.0
2024-05-01,1736.29,1748.84,1731.42,1742.99,5525665.0
2024-05-02,1742.99,1747.41,1733.41,1735.41,5723264.0
2024-05-03,1735.41,1746.23,1730.54,1741.05,3067223.0
2024-05-04,1741.05,1747.08,1735.81,1746.43,5434373.0
2024-05-05,1746.43,1751.33,1739.45,1742.21,3220763.0
2024-05-06,1742.21,1749.1,1742.07,1747.73,2772519.0
2024-05-07,1747.73,1752.92,1739.51,1745.31,3116500.0
2024-05-08,1745.31,1750.62,1739.43,1748.22,4144863.0
2024-05-09,1748.22,1756.88,1742.4,1756.19,2714271.0
2024-05-10,1756.19,1766.14,1755.54,1764.55,3738255.0
2024-05-11,1764.55,1770.82,1760.91,1768.93,4045692.0
2024-05-12,1768.93,1772.39,1765.95,1767.48,4835141.0
2024-05-13,1767.48,1773.04,1756.28,1759.51,4877720.0
2024-05-14,1759.51,1768.15,1757.33,1764.12,2279895.0
2024-05-15,1764.12,1769.4,1762.24,1767.42,5392061.0
2024-05-16,1767.42,1773.45,1765.56,1771.65,3633572.0
2024-05-17,1771.65,1773.43,1769.73,1770.49,3681785.0
2024-05-18,1770.49,1782.54,1765.08,1778.48,4462060.0
2024-05-19,1778.48,1781.77,1775.59,1775.6,3147655.0
2024-05-20,1775.6,1779.08,1770.98,1774.9,3859953.0
2024-06-01,1774.9,1776.19,1771.58,1774.42,5604723.0
2024-06-02,1774.42,1780.97,1773.91,1779.95,4061808.0
2024-06-03,1779.95,1784.72,1775.04,1782.71,5004553.0
2024-06-04,1782.71,1787.5,1781.52,1786.15,2097702.0
2024-06-05,1786.15,1789.0,1777.21,1782.31,2291313.0
2024-06-06,1782.31,1786.09,1780.19,1781.36,4785417.0
2024-06-07,1781.36,1783.23,1777.42,1781.76,2022179.0
2024-06-08,1781.76,1791.15,1781.12,1786.53,3700585.0
2024-06-09,1786.53,1792.28,1778.41,1781.52,2200874.0
2024-06-10,1781.52,1786.61,1775.02,1777.76,5205666.0
2024-06-11,1777.76,1787.03,1774.18,1781.1,5800158.0
2024-06-12,1781.1,1791.93,1776.79,1788.26,4019113.0
2024-06-13,1788.26,1797.67,1782.88,1794.38,4974622.0
2024-06-14,1794.38,1796.0,1792.9,1794.45,4550646.0
2024-06-15,1794.45,1802.59,1790.69,1799.47,3098390.0
2024-06-16,1799.47,1801.18,1791.15,1792.78,3278838.0
2024-06-17,1792.78,1794.8,1791.4,1793.97,4775799.0
2024-06-18,1793.97,1798.36,1791.52,1797.98,4170445.0
2024-06-19,1797.98,1799.22,1794.52,1797.04,5619354.0
2024-06-20,1797.04,1803.15,1791.9,1798.97,5062378.0
